----|-------------------------------------------------|------------------|------------|-------------|-------------------|---------------|----------------------------------------|----------------------
ID  | NAME                                            | OPERATING SYSTEM | HOST GROUP | IP          | MAC               | GLOBAL STATUS | CONTENT VIEW                           | LIFECYCLE ENVIRONMENT
----|-------------------------------------------------|------------------|------------|-------------|-------------------|---------------|----------------------------------------|----------------------
121 | ansesadonai.anses.gov.ar                        | RedHat 7.5       |            | 10.1.15.224 | 00:50:56:a9:7c:4f | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
50  | ansesalm.anses.gov.ar                           | RedHat 6.5       |            | 10.1.15.62  | 00:50:56:9b:9f:d0 | Error         | RedHat RHEL6 Server Official Repos New | PRODUCCION           
124 | ansesanmeapp01.anses.gov.ar                     | RedHat 7.5       |            | 10.1.15.220 | 00:50:56:a9:00:2b | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
123 | ansesanmeapp02.anses.gov.ar                     | RedHat 7.5       |            | 10.1.15.221 | 00:50:56:a9:60:0b | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
122 | ansesanmeapp03.anses.gov.ar                     | RedHat 7.5       |            | 10.1.15.238 | 00:50:56:9b:cc:8d | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
125 | ansesanmeapp04.anses.gov.ar                     | RedHat 7.5       |            | 10.1.15.239 | 00:50:56:9b:fd:64 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
68  | ansesanmejboss7.anses.gov.ar                    | RedHat 7.6       |            | 10.8.15.105 | 00:50:56:b8:7f:d6 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
136 | ansesapachelog.anses.gov.ar                     | RedHat 7.5       |            | 10.1.15.128 | 00:50:56:b5:27:ae | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
126 | ansesappdyncoll.anses.gov.ar                    | RedHat 7.6       |            | 10.1.15.138 | 00:50:56:9b:22:a2 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
127 | ansesappdyncont.anses.gov.ar                    | RedHat 7.6       |            | 10.1.15.137 | 00:50:56:9b:59:03 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
128 | ansesapplog.anses.gov.ar                        | RedHat 7.6       |            | 10.1.15.108 | 00:50:56:9b:e0:05 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
69  | ansesarg.anses.gov.ar                           | RedHat 7.8       |            | 10.8.15.56  | 00:50:56:b8:67:22 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
65  | ansesargdesa.anses.gov.ar                       | RedHat 7.8       |            | 10.8.15.23  | 00:50:56:b8:2a:29 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
129 | ansesbalext01.anses.gov.ar                      | RedHat 7.5       |            | 10.7.1.41   | 00:50:56:9b:82:bc | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
130 | ansesbalext02.anses.gov.ar                      | RedHat 7.5       |            | 10.7.1.81   | 00:50:56:9b:01:67 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
131 | ansesbalint01.anses.gov.ar                      | RedHat 7.5       |            | 10.1.15.97  | 00:50:56:9b:bd:25 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
132 | ansesbalint02.anses.gov.ar                      | RedHat 7.5       |            | 10.1.15.56  | 00:50:56:9b:d2:80 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
34  | ansesbastion.anses.gov.ar                       | RedHat 8.2       |            | 10.8.15.55  | 00:50:56:b8:72:c8 | Error         | RedHat RHEL8 Server Official Repos     | DESARROLLO           
33  | ansesbastiond.anses.gov.ar                      | RedHat 8.2       |            | 10.8.15.192 | 00:50:56:b8:e3:21 | Error         | RedHat RHEL8 Server Official Repos     | DESARROLLO           
47  | ansesbatchlx1.anses.gov.ar                      | RedHat 6.8       |            | 10.1.15.212 | 00:50:56:a9:3a:98 | Error         | RedHat RHEL6 Server Official Repos New | PRODUCCION           
133 | ansesbimstrin01.anses.gov.ar                    | RedHat 7.6       |            | 10.1.15.249 | 00:50:56:9b:d9:26 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
134 | ansesbimstrmb01.anses.gov.ar                    | RedHat 7.6       |            | 10.1.15.251 | 00:50:56:9b:59:2e | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
135 | ansesbimstrwb01.anses.gov.ar                    | RedHat 7.6       |            | 10.1.15.250 | 00:50:56:9b:da:ee | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
67  | ansesblcdesa01.anses.gov.ar                     | RedHat 7.8       |            | 10.8.15.143 | 00:50:56:b8:4c:78 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
46  | ansesblcint04.anses.gov.ar                      | RedHat 6.1       |            | 10.1.15.90  | 00:50:56:a9:41:38 | Error         | RedHat RHEL6 Server Official Repos New | PRODUCCION           
139 | ansesclouderadb.anses.gov.ar                    | RedHat 7.7       |            | 10.1.13.38  | 00:50:56:9b:8b:45 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
137 | ansescontrolr01.anses.gov.ar                    | RedHat 7.8       |            | 10.1.15.78  | 00:50:56:9b:84:53 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
88  | ansescvss01desa.anses.gov.ar                    | RedHat 7.8       |            | 10.8.15.124 | 00:50:56:9b:ba:41 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
22  | ansesdb2cnat01.anses.gov.ar                     | RedHat 6.2       |            | 10.2.15.6   | 00:50:56:a2:12:28 | Error         | RedHat RHEL6 Server Official Repos New | PRODUCCION           
21  | ansesdb2cnat02.anses.gov.ar                     | RedHat 6.2       |            | 10.2.15.7   | 00:50:56:b5:4b:b3 | Error         | RedHat RHEL6 Server Official Repos New | PRODUCCION           
48  | ansesdb2conn02.anses.gov.ar                     | RedHat 6.2       |            | 10.1.15.109 | 00:50:56:a2:57:db | Error         | RedHat RHEL6 Server Official Repos New | PRODUCCION           
66  | ansesdesafuse.anses.gov.ar                      | RedHat 7.4       |            | 10.8.15.59  | 00:50:56:a6:0b:41 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
25  | ansesdesajv02.anses.gov.ar                      | RedHat 6.10      |            | 10.8.15.29  | 00:50:56:a6:0e:4a | Error         | RedHat RHEL6 Server Official Repos New | DESARROLLO           
17  | ansesdesajv03.anses.gov.ar                      | RedHat 6.10      |            | 10.8.15.75  | 00:50:56:bd:d0:4b | Error         | RedHat RHEL6 Server Official Repos New | DESARROLLO           
31  | ansesdesaneg01.anses.gov.ar                     | RedHat 6.5       |            | 10.8.15.49  | 00:50:56:a6:0a:b3 | Error         | RedHat RHEL6 Server Official Repos New | DESARROLLO           
26  | ansesdesatyjlx1.anses.gov.ar                    | RedHat 6.10      |            | 10.8.15.52  | 00:50:56:a6:1b:d8 | Error         | RedHat RHEL6 Server Official Repos New | DESARROLLO           
70  | ansesdigitela1d.anses.gov.ar                    | RedHat 7.9       |            | 10.8.15.126 | 00:50:56:a9:0b:c4 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
138 | ansesdigitocr01.anses.gov.ar                    | RedHat 7.5       |            | 10.1.15.84  | 00:50:56:a9:43:d6 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
141 | ansesdigitocr02.anses.gov.ar                    | RedHat 7.5       |            | 10.1.15.85  | 00:50:56:a9:ca:ab | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
71  | ansesdigitocr1d.anses.gov.ar                    | RedHat 7.8       |            | 10.8.15.125 | 00:50:56:a9:85:bb | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
42  | ansesdns02.anses.gov.ar                         | RedHat 7.9       |            | 10.7.1.57   | 00:50:56:b5:51:2e | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
140 | ansesdom7ws01.anses.gov.ar                      | RedHat 7.6       |            | 10.1.13.7   | 00:50:56:9b:bb:b2 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
142 | ansesdom7ws02.anses.gov.ar                      | RedHat 7.6       |            | 10.1.13.8   | 00:50:56:9b:77:3c | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
143 | ansesdom7ws03.anses.gov.ar                      | RedHat 7.6       |            | 10.1.13.9   | 00:50:56:9b:d8:0c | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
144 | ansesdom7ws04.anses.gov.ar                      | RedHat 7.6       |            | 10.1.13.10  | 00:50:56:9b:0f:7b | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
145 | ansesdom7ws05.anses.gov.ar                      | RedHat 7.6       |            | 10.1.13.30  | 00:50:56:9b:b4:c4 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
146 | ansesdom7ws06.anses.gov.ar                      | RedHat 7.6       |            | 10.1.13.31  | 00:50:56:9b:a8:f9 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
147 | ansesdomcont01.anses.gov.ar                     | RedHat 7.6       |            | 10.1.15.226 | 00:50:56:9b:0c:22 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
148 | ansesdomcont7.anses.gov.ar                      | RedHat 7.6       |            | 10.1.13.11  | 00:50:56:9b:5f:28 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
149 | ansesdpdb01.anses.gov.ar                        | RedHat 7.5       |            | 10.1.15.140 | 00:50:56:9b:cc:22 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
156 | ansesdsilab.anses.gov.ar                        | RedHat 7.6       |            | 10.7.1.68   | 00:50:56:9b:c2:1f | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
74  | ansesdt.anses.gov.ar                            | RedHat 7.5       |            | 10.8.15.39  | 00:50:56:b8:4a:02 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
170 | anseselastic01.anses.gov.ar                     | RedHat 7.5       |            | 10.1.15.178 | 00:50:56:a9:1f:cc | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
151 | anseselk01.anses.gov.ar                         | RedHat 7.5       |            | 10.1.15.51  | 00:50:56:9b:2a:cf | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
150 | anseselk02.anses.gov.ar                         | RedHat 7.5       |            | 10.1.15.52  | 00:50:56:9b:cd:2c | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
120 | anseselkgas01.anses.gov.ar                      | RedHat 7.6       |            | 10.1.13.1   | 00:50:56:9b:1b:fd | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
155 | anseselkgas02.anses.gov.ar                      | RedHat 7.6       |            | 10.1.13.2   | 00:50:56:9b:a7:0e | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
153 | anseselkgas03.anses.gov.ar                      | RedHat 7.6       |            | 10.1.13.3   | 00:50:56:9b:7f:04 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
154 | anseselkgas04.anses.gov.ar                      | RedHat 7.6       |            | 10.1.13.4   | 00:50:56:9b:a4:83 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
157 | anseselkgas05.anses.gov.ar                      | RedHat 7.6       |            | 10.1.13.5   | 00:50:56:9b:78:1f | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
152 | anseselkgas.anses.gov.ar                        | RedHat 7.6       |            | 10.1.13.6   | 00:50:56:9b:37:1d | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
72  | anseselkqa01.anses.gov.ar                       | RedHat 7.8       |            | 10.8.15.25  | 00:50:56:b8:39:96 | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
73  | anseselkqa02.anses.gov.ar                       | RedHat 7.8       |            | 10.8.15.140 | 00:50:56:b8:27:1d | Error         | RedHat RHEL7 Server Official Repos New | DESARROLLO           
51  | ansesexh01.anses.gov.ar                         | RedHat 6.5       |            | 10.1.15.125 | 00:50:56:b5:13:6c | Error         | RedHat RHEL6 Server Official Repos New | PRODUCCION           
160 | ansesfd02.anses.gov.ar                          | RedHat 7.5       |            | 10.1.15.173 | 00:50:56:b5:0a:bd | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
163 | ansesfd03.anses.gov.ar                          | RedHat 7.5       |            | 10.1.15.175 | 00:50:56:b5:01:f1 | Error         | RedHat RHEL7 Server Official Repos New | PRODUCCION           
