ID | UUID                             | NAME                                                                             | TYPE                                                      | CONTRACT | ACCOUNT | SUPPORT  | START DATE          | END DATE            | QUANTITY  | CONSUMED
21 | 8a818f28754b771701754ca27c7914f6 | MongoDB Repository                                                               | Physical                                                  |          |         |          | 2020/10/21 19:28:38 | 2049/12/01 00:00:00 | Unlimited | 0       
22 | 8a818f28754b771701754cb61b23151e | Puppetlabs                                                                       | Physical                                                  |          |         |          | 2020/10/21 19:50:04 | 2049/12/01 00:00:00 | Unlimited | 205     
20 | 8a818f28754b771701754b86785e1478 | Red Hat Ansible Automation, Premium (100 Managed Nodes)                          | Physical                                                  | 12172944 | 1338016 | Premium  | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | 100       | 0       
43 | 8a818f2875518267017556cac185036d | Red Hat Cloud Suite, Premium (2 Sockets, 32 Cores)                               | Guests of virt-who-6e3fb58f-64c6-fd45-bc02-8b2375e60e9b-1 | 12172944 | 1338016 | Premium  | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 13      
42 | 8a818f2875518267017556c8d208036a | Red Hat Cloud Suite, Premium (2 Sockets, 32 Cores)                               | Guests of virt-who-ae76d72e-6d4a-8943-bfaf-498058549d57-1 | 12172944 | 1338016 | Premium  | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 37      
9  | 8a818f28754b771701754b8672dd1445 | Red Hat Cloud Suite, Premium (2 Sockets, 32 Cores)                               | Physical                                                  | 12172944 | 1338016 | Premium  | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | 4         | 4       
45 | 8a818f2875518267017556cc5e8a0373 | Red Hat Cloud Suite, Standard (2 Sockets, 32 Cores)                              | Guests of virt-who-d13e13fd-6449-5d47-9e4c-4eb4554a12f7-1 | 12172944 | 1338016 | Standard | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 1       
44 | 8a818f2875518267017556cbe1b10370 | Red Hat Cloud Suite, Standard (2 Sockets, 32 Cores)                              | Guests of virt-who-9eb59a9e-a883-0940-a581-4f92104bdee3-1 | 12172944 | 1338016 | Standard | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 16      
12 | 8a818f28754b771701754b86760b1456 | Red Hat Cloud Suite, Standard (2 Sockets, 32 Cores)                              | Physical                                                  | 12172944 | 1338016 | Standard | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | 4         | 4       
8  | 8a818f28754b771701754b866fb41442 | Red Hat Decision Manager, Premium (16 Cores)                                     | Physical                                                  | 12172944 | 1338016 | Premium  | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | 4         | 0       
2  | 8a818f28754b771701754b866cdd1431 | Red Hat Directory Server                                                         | Physical                                                  | 12172944 | 1338016 | Layered  | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | 2         | 0       
34 | 8a818f2875518267017556afd36f02dc | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Premium  | Guests of virt-who-9f98749a-a19e-f74b-8b77-31f367f9d85c-1 | 12172944 | 1338016 | Premium  | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 0       
33 | 8a818f2875518267017556afd29802d8 | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Premium  | Guests of virt-who-f0acc995-05bb-5c4c-b132-fb0b52cb0a1f-1 | 12172944 | 1338016 | Premium  | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 0       
31 | 8a818f2875518267017556afcd2602d1 | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Premium  | Guests of virt-who-190fc2e9-cd8e-1b45-83a6-c256879bcec5-1 | 12172944 | 1338016 | Premium  | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 0       
30 | 8a818f2875518267017556afcc6902cd | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Premium  | Guests of virt-who-748b752f-2405-c74f-874b-93f493657252-1 | 12172944 | 1338016 | Premium  | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 0       
28 | 8a818f2875518267017556afc9c702c6 | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Premium  | Guests of virt-who-245462c9-84ba-8548-ac9e-1f4e5abdcb60-1 | 12172944 | 1338016 | Premium  | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 0       
26 | 8a818f2875518267017556afc54402bf | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Premium  | Guests of virt-who-ff7bb002-69fc-6e41-92a4-c41e2863ff35-1 | 12172944 | 1338016 | Premium  | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 1       
25 | 8a818f2875518267017556afc50402bc | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Premium  | Guests of virt-who-515eca53-99c0-cb4d-9cd6-65e56b898d15-1 | 12172944 | 1338016 | Premium  | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 0       
24 | 8a818f2875518267017556aecc5302b7 | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Premium  | Guests of virt-who-18c983f1-4440-d54a-adf7-1f5bd6dd7ff8-1 | 12172944 | 1338016 | Premium  | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 0       
14 | 8a818f28754b771701754b8677961461 | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Premium  | Physical                                                  | 12172944 | 1338016 | Premium  | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | 16        | 15      
39 | 8a818f2875518267017556afdf2102ed | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Standard | Guests of virt-who-6ca64321-4d1a-684f-bfb8-8db028fb4eab-1 | 12172944 | 1338016 | Standard | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 17      
38 | 8a818f2875518267017556afd8f402e9 | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Standard | Guests of virt-who-f0acc995-05bb-5c4c-b132-fb0b52cb0a1f-1 | 12172944 | 1338016 | Standard | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 14      
37 | 8a818f2875518267017556afd8ad02e6 | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Standard | Guests of virt-who-9f98749a-a19e-f74b-8b77-31f367f9d85c-1 | 12172944 | 1338016 | Standard | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 0       
36 | 8a818f2875518267017556afd61c02e2 | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Standard | Guests of virt-who-190fc2e9-cd8e-1b45-83a6-c256879bcec5-1 | 12172944 | 1338016 | Standard | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 31      
35 | 8a818f2875518267017556afd5d602df | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Standard | Guests of virt-who-748b752f-2405-c74f-874b-93f493657252-1 | 12172944 | 1338016 | Standard | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 14      
32 | 8a818f2875518267017556afd08c02d4 | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Standard | Guests of virt-who-245462c9-84ba-8548-ac9e-1f4e5abdcb60-1 | 12172944 | 1338016 | Standard | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 0       
29 | 8a818f2875518267017556afcad302c9 | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Standard | Guests of virt-who-ff7bb002-69fc-6e41-92a4-c41e2863ff35-1 | 12172944 | 1338016 | Standard | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 18      
27 | 8a818f2875518267017556afc8b002c2 | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Standard | Guests of virt-who-515eca53-99c0-cb4d-9cd6-65e56b898d15-1 | 12172944 | 1338016 | Standard | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | Unlimited | 38      
6  | 8a818f28754b771701754b866f4c143d | Red Hat Enterprise Linux for Virtual Datacenters with Smart Management, Standard | Physical                                                  | 12172944 | 1338016 | Standard | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | 16        | 15      
16 | 8a818f28754b771701754b8677d21466 | Red Hat Fuse, Premium (16 Cores)                                                 | Physical                                                  | 12172944 | 1338016 | Premium  | 2020/03/31 04:00:00 | 2021/03/31 03:59:59 | 1000      | 0       
